permno,adate,qdate,public_date,bm,TICKER
11081,20020131,20020430,20020630,0.066,DELL
11081,20020131,20020430,20020731,0.066,DELL
11081,20020131,20020430,20020831,0.066,DELL
11081,20020131,20020731,20020930,0.071,DELL
11081,20020131,20020731,20021031,0.071,DELL
11081,20020131,20020731,20021130,0.071,DELL
11081,20020131,20021031,20021231,0.063,DELL
11081,20020131,20021031,20030131,0.063,DELL
11081,20020131,20021031,20030228,0.063,DELL
11081,20030131,20030131,20030331,0.079,DELL
11081,20030131,20030131,20030430,0.079,DELL
11081,20030131,20030131,20030531,0.079,DELL
11081,20030131,20030430,20030630,0.068,DELL
11081,20030131,20030430,20030731,0.068,DELL
11081,20030131,20030430,20030831,0.068,DELL
11081,20030131,20030731,20030930,0.064,DELL
11081,20030131,20030731,20031031,0.064,DELL
11081,20030131,20030731,20031130,0.064,DELL
11081,20030131,20031031,20031231,0.064,DELL
11081,20030131,20031031,20040131,0.064,DELL
11081,20030131,20031031,20040229,0.064,DELL
11081,20040131,20040131,20040331,0.073,DELL
11081,20040131,20040131,20040430,0.073,DELL
11081,20040131,20040131,20040531,0.073,DELL
11081,20040131,20040430,20040630,0.069,DELL
11081,20040131,20040430,20040731,0.069,DELL
11081,20040131,20040430,20040831,0.069,DELL
11081,20040131,20040731,20040930,0.070,DELL
11081,20040131,20040731,20041031,0.070,DELL
11081,20040131,20040731,20041130,0.070,DELL
11081,20040131,20041031,20041231,0.068,DELL
11081,20040131,20041031,20050131,0.068,DELL
11081,20040131,20041031,20050228,0.068,DELL
11081,20050131,20050131,20050331,0.062,DELL
11081,20050131,20050131,20050430,0.062,DELL
11081,20050131,20050131,20050531,0.062,DELL
11081,20050131,20050430,20050630,0.066,DELL
11081,20050131,20050430,20050731,0.066,DELL
11081,20050131,20050430,20050831,0.066,DELL
11081,20050131,20050731,20050930,0.056,DELL
11081,20050131,20050731,20051031,0.056,DELL
11081,20050131,20050731,20051130,0.056,DELL
11081,20050131,20051031,20051231,0.064,DELL
11081,20050131,20051031,20060131,0.064,DELL
11081,20050131,20051031,20060228,0.064,DELL
11081,20060131,20060131,20060331,0.060,DELL
11081,20060131,20060131,20060430,0.060,DELL
11081,20060131,20060131,20060531,0.060,DELL
11081,20060131,20060430,20060630,0.054,DELL
11081,20060131,20060430,20060731,0.054,DELL
11081,20060131,20060430,20060831,0.054,DELL
11081,20060131,20060731,20060930,0.061,DELL
11081,20060131,20060731,20061031,0.061,DELL
11081,20060131,20060731,20061130,0.061,DELL
11081,20060131,20061031,20061231,0.063,DELL
11081,20060131,20061031,20070131,0.063,DELL
11081,20060131,20061031,20070228,0.063,DELL
11081,20070131,20070131,20070331,0.080,DELL
11081,20070131,20070131,20070430,0.080,DELL
11081,20070131,20070131,20070531,0.080,DELL
11081,20070131,20070430,20070630,0.090,DELL
11081,20070131,20070430,20070731,0.090,DELL
11081,20070131,20070430,20070831,0.090,DELL
11081,20070131,20070731,20070930,0.095,DELL
11081,20070131,20070731,20071031,0.095,DELL
11081,20070131,20070731,20071130,0.095,DELL
11081,20070131,20071031,20071231,0.100,DELL
11081,20070131,20071031,20080131,0.100,DELL
11081,20070131,20071031,20080229,0.100,DELL
11081,20080131,20080131,20080331,0.090,DELL
11081,20080131,20080131,20080430,0.090,DELL
11081,20080131,20080131,20080531,0.090,DELL
11081,20080131,20080430,20080630,0.092,DELL
11081,20080131,20080430,20080731,0.092,DELL
11081,20080131,20080430,20080831,0.092,DELL
11081,20080131,20080731,20080930,0.059,DELL
11081,20080131,20080731,20081031,0.059,DELL
11081,20080131,20080731,20081130,0.059,DELL
11081,20080131,20081031,20081231,0.175,DELL
11081,20080131,20081031,20090131,0.175,DELL
11081,20080131,20081031,20090228,0.175,DELL
11081,20090131,20090131,20090331,0.231,DELL
11081,20090131,20090131,20090430,0.231,DELL
11081,20090131,20090131,20090531,0.231,DELL
11081,20090131,20090430,20090630,0.187,DELL
11081,20090131,20090430,20090731,0.187,DELL
11081,20090131,20090430,20090831,0.187,DELL
11081,20090131,20090731,20090930,0.177,DELL
11081,20090131,20090731,20091031,0.177,DELL
11081,20090131,20090731,20091130,0.177,DELL
11081,20090131,20091031,20091231,0.178,DELL
11081,20090131,20091031,20100131,0.178,DELL
11081,20090131,20091031,20100228,0.178,DELL
11081,20100131,20100131,20100331,0.223,DELL
11081,20100131,20100131,20100430,0.223,DELL
11081,20100131,20100131,20100531,0.223,DELL
11081,20100131,20100430,20100630,0.186,DELL
11081,20100131,20100430,20100731,0.186,DELL
11081,20100131,20100430,20100831,0.186,DELL
11081,20100131,20100731,20100930,0.239,DELL
11081,20100131,20100731,20101031,0.239,DELL
11081,20100131,20100731,20101130,0.239,DELL
11081,20100131,20101031,20101231,0.245,DELL
11081,20100131,20101031,20110131,0.245,DELL
11081,20100131,20101031,20110228,0.245,DELL
11081,20110131,20110131,20110331,0.308,DELL
11081,20110131,20110131,20110430,0.308,DELL
11081,20110131,20110131,20110531,0.308,DELL
11081,20110131,20110430,20110630,0.285,DELL
11081,20110131,20110430,20110731,0.285,DELL
11081,20110131,20110430,20110831,0.285,DELL
11081,20110131,20110731,20110930,0.280,DELL
11081,20110131,20110731,20111031,0.280,DELL
11081,20110131,20110731,20111130,0.280,DELL
11081,20110131,20111031,20111231,0.305,DELL
11081,20110131,20111031,20120131,0.305,DELL
11081,20110131,20111031,20120229,0.305,DELL
11081,20120131,20120131,20120331,0.302,DELL
11081,20120131,20120131,20120430,0.302,DELL
11081,20120131,20120131,20120531,0.302,DELL
11081,20120131,20120430,20120630,0.325,DELL
11081,20120131,20120430,20120731,0.325,DELL
11081,20120131,20120430,20120831,0.325,DELL
11081,20120131,20120731,20120930,0.473,DELL
11081,20120131,20120731,20121031,0.473,DELL
11081,20120131,20120731,20121130,0.473,DELL
11081,20120131,20121031,20121231,0.634,DELL
11081,20120131,20121031,20130131,0.634,DELL
11081,20120131,20121031,20130228,0.634,DELL
11081,20130131,20130131,20130331,0.487,DELL
11081,20130131,20130131,20130430,0.487,DELL
11081,20130131,20130131,20130531,0.487,DELL
11081,20130131,20130430,20130630,0.457,DELL
11081,20130131,20130430,20130731,0.457,DELL
11081,20130131,20130430,20130831,0.457,DELL
11081,20130131,20130731,20130930,0.484,DELL
12490,19981231,19990930,20000131,0.096,IBM
12490,19991231,19991231,20000229,0.112,IBM
12490,19991231,19991231,20000331,0.112,IBM
12490,19991231,19991231,20000430,0.112,IBM
12490,19991231,20000331,20000531,0.097,IBM
12490,19991231,20000331,20000630,0.097,IBM
12490,19991231,20000331,20000731,0.097,IBM
12490,19991231,20000630,20000831,0.105,IBM
12490,19991231,20000630,20000930,0.105,IBM
12490,19991231,20000630,20001031,0.105,IBM
12490,19991231,20000930,20001130,0.103,IBM
12490,19991231,20000930,20001231,0.103,IBM
12490,19991231,20000930,20010131,0.103,IBM
12490,20001231,20001231,20010228,0.149,IBM
12490,20001231,20001231,20010331,0.149,IBM
12490,20001231,20001231,20010430,0.149,IBM
12490,20001231,20010331,20010531,0.127,IBM
12490,20001231,20010331,20010630,0.127,IBM
12490,20001231,20010331,20010731,0.127,IBM
12490,20001231,20010630,20010831,0.114,IBM
12490,20001231,20010630,20010930,0.114,IBM
12490,20001231,20010630,20011031,0.114,IBM
12490,20001231,20010930,20011130,0.139,IBM
12490,20001231,20010930,20011231,0.139,IBM
12490,20001231,20010930,20020131,0.139,IBM
12490,20011231,20011231,20020228,0.121,IBM
12490,20011231,20011231,20020331,0.121,IBM
12490,20011231,20011231,20020430,0.121,IBM
12490,20011231,20020331,20020531,0.129,IBM
12490,20011231,20020331,20020630,0.129,IBM
12490,20011231,20020331,20020731,0.129,IBM
12490,20011231,20020630,20020831,0.175,IBM
12490,20011231,20020630,20020930,0.175,IBM
12490,20011231,20020630,20021031,0.175,IBM
12490,20011231,20020930,20021130,0.224,IBM
12490,20011231,20020930,20021231,0.224,IBM
12490,20011231,20020930,20030131,0.224,IBM
12490,20021231,20021231,20030228,0.182,IBM
12490,20021231,20021231,20030331,0.182,IBM
12490,20021231,20021231,20030430,0.182,IBM
12490,20021231,20030331,20030531,0.181,IBM
12490,20021231,20030331,20030630,0.181,IBM
12490,20021231,20030331,20030731,0.181,IBM
12490,20021231,20030630,20030831,0.186,IBM
12490,20021231,20030630,20030930,0.186,IBM
12490,20021231,20030630,20031031,0.186,IBM
12490,20021231,20030930,20031130,0.180,IBM
12490,20021231,20030930,20031231,0.180,IBM
12490,20021231,20030930,20040131,0.180,IBM
12490,20031231,20031231,20040229,0.189,IBM
12490,20031231,20031231,20040331,0.189,IBM
12490,20031231,20031231,20040430,0.189,IBM
12490,20031231,20040331,20040531,0.182,IBM
12490,20031231,20040331,20040630,0.182,IBM
12490,20031231,20040331,20040731,0.182,IBM
12490,20031231,20040630,20040831,0.195,IBM
12490,20031231,20040630,20040930,0.195,IBM
12490,20031231,20040630,20041031,0.195,IBM
